Program,Threads,CommandIndex,Command,Run,Output
minizseq,1,3,-r\ 0\ -C\ 0\ -q\ 1\ small_files,7,$'# elapsed time (sequential_miniz): 66.8047s\nExiting with Success'
minizseq,1,4,-r\ 0\ -D\ 1\ -q\ 1\ small_files,7,$'# elapsed time (sequential_miniz): 5.20297s\nExiting with Success'
minizseq,1,5,-r\ 1\ -C\ 0\ -q\ 1\ nested_files,7,$'# elapsed time (sequential_miniz): 23.0846s\nExiting with Success'
minizseq,1,6,-r\ 1\ -D\ 1\ -q\ 1\ nested_files,7,$'# elapsed time (sequential_miniz): 1.36729s\nExiting with Success'
minizseq,1,1,-r\ 0\ -C\ 0\ -q\ 1\ big_files,8,$'# elapsed time (sequential_miniz): 23.2448s\nExiting with Success'
minizseq,1,2,-r\ 0\ -D\ 1\ -q\ 1\ big_files,8,$'# elapsed time (sequential_miniz): 1.35315s\nExiting with Success'
minizseq,1,3,-r\ 0\ -C\ 0\ -q\ 1\ small_files,8,$'# elapsed time (sequential_miniz): 35.1115s\nExiting with Success'
minizseq,1,4,-r\ 0\ -D\ 1\ -q\ 1\ small_files,8,$'# elapsed time (sequential_miniz): 4.27496s\nExiting with Success'
minizseq,1,5,-r\ 1\ -C\ 0\ -q\ 1\ nested_files,8,$'# elapsed time (sequential_miniz): 26.7846s\nExiting with Success'
minizseq,1,6,-r\ 1\ -D\ 1\ -q\ 1\ nested_files,8,$'# elapsed time (sequential_miniz): 10.2413s\nExiting with Success'
minizseq,1,1,-r\ 0\ -C\ 0\ -q\ 1\ big_files,9,$'# elapsed time (sequential_miniz): 23.2437s\nExiting with Success'
minizseq,1,2,-r\ 0\ -D\ 1\ -q\ 1\ big_files,9,$'# elapsed time (sequential_miniz): 1.44043s\nExiting with Success'
minizseq,1,3,-r\ 0\ -C\ 0\ -q\ 1\ small_files,9,$'# elapsed time (sequential_miniz): 27.349s\nExiting with Success'
minizseq,1,4,-r\ 0\ -D\ 1\ -q\ 1\ small_files,9,$'# elapsed time (sequential_miniz): 3.61287s\nExiting with Success'
minizseq,1,5,-r\ 1\ -C\ 0\ -q\ 1\ nested_files,9,$'# elapsed time (sequential_miniz): 24.6867s\nExiting with Success'
minizseq,1,6,-r\ 1\ -D\ 1\ -q\ 1\ nested_files,9,$'# elapsed time (sequential_miniz): 1.52366s\nExiting with Success'
minizseq,1,1,-r\ 0\ -C\ 0\ -q\ 1\ big_files,10,$'# elapsed time (sequential_miniz): 30.7429s\nExiting with Success'
minizseq,1,2,-r\ 0\ -D\ 1\ -q\ 1\ big_files,10,$'# elapsed time (sequential_miniz): 5.28173s\nExiting with Success'
minizseq,1,3,-r\ 0\ -C\ 0\ -q\ 1\ small_files,10,$'# elapsed time (sequential_miniz): 44.0719s\nExiting with Success'
minizseq,1,4,-r\ 0\ -D\ 1\ -q\ 1\ small_files,10,$'# elapsed time (sequential_miniz): 3.74501s\nExiting with Success'
minizseq,1,5,-r\ 1\ -C\ 0\ -q\ 1\ nested_files,10,$'# elapsed time (sequential_miniz): 22.5688s\nExiting with Success'
minizseq,1,6,-r\ 1\ -D\ 1\ -q\ 1\ nested_files,10,$'# elapsed time (sequential_miniz): 2.88329s\nExiting with Success'
minizpar,1,1,-r\ 0\ -C\ 0\ -q\ 1\ big_files,1,$'# elapsed time (parallel_miniz): 27.8584s\nExiting with Success'
minizpar,1,2,-r\ 0\ -D\ 1\ -q\ 1\ big_files,1,$'# elapsed time (parallel_miniz): 5.56199s\nExiting with Success'
minizpar,1,3,-r\ 0\ -C\ 0\ -q\ 1\ small_files,1,$'# elapsed time (parallel_miniz): 29.3425s\nExiting with Success'
minizpar,1,4,-r\ 0\ -D\ 1\ -q\ 1\ small_files,1,$'# elapsed time (parallel_miniz): 4.61487s\nExiting with Success'
minizpar,1,5,-r\ 1\ -C\ 0\ -q\ 1\ nested_files,1,$'# elapsed time (parallel_miniz): 22.5196s\nExiting with Success'
minizpar,1,6,-r\ 1\ -D\ 1\ -q\ 1\ nested_files,1,$'# elapsed time (parallel_miniz): 3.93129s\nExiting with Success'
minizpar,1,1,-r\ 0\ -C\ 0\ -q\ 1\ big_files,2,$'# elapsed time (parallel_miniz): 23.2858s\nExiting with Success'
minizpar,1,2,-r\ 0\ -D\ 1\ -q\ 1\ big_files,2,$'# elapsed time (parallel_miniz): 1.51761s\nExiting with Success'
minizpar,1,3,-r\ 0\ -C\ 0\ -q\ 1\ small_files,2,$'# elapsed time (parallel_miniz): 46.5898s\nExiting with Success'
minizpar,1,4,-r\ 0\ -D\ 1\ -q\ 1\ small_files,2,$'# elapsed time (parallel_miniz): 9.62916s\nExiting with Success'
minizpar,1,5,-r\ 1\ -C\ 0\ -q\ 1\ nested_files,2,$'# elapsed time (parallel_miniz): 23.6289s\nExiting with Success'
minizpar,1,6,-r\ 1\ -D\ 1\ -q\ 1\ nested_files,2,$'# elapsed time (parallel_miniz): 1.73999s\nExiting with Success'
minizpar,1,1,-r\ 0\ -C\ 0\ -q\ 1\ big_files,3,$'# elapsed time (parallel_miniz): 22.5136s\nExiting with Success'
minizpar,1,2,-r\ 0\ -D\ 1\ -q\ 1\ big_files,3,$'# elapsed time (parallel_miniz): 1.52759s\nExiting with Success'
minizpar,1,3,-r\ 0\ -C\ 0\ -q\ 1\ small_files,3,$'# elapsed time (parallel_miniz): 37.2311s\nExiting with Success'
minizpar,1,4,-r\ 0\ -D\ 1\ -q\ 1\ small_files,3,$'# elapsed time (parallel_miniz): 8.82589s\nExiting with Success'
minizpar,1,5,-r\ 1\ -C\ 0\ -q\ 1\ nested_files,3,$'# elapsed time (parallel_miniz): 23.2122s\nExiting with Success'
minizpar,1,6,-r\ 1\ -D\ 1\ -q\ 1\ nested_files,3,$'# elapsed time (parallel_miniz): 4.76194s\nExiting with Success'
minizpar,1,1,-r\ 0\ -C\ 0\ -q\ 1\ big_files,4,$'# elapsed time (parallel_miniz): 24.5334s\nExiting with Success'
minizpar,1,2,-r\ 0\ -D\ 1\ -q\ 1\ big_files,4,$'# elapsed time (parallel_miniz): 2.0575s\nExiting with Success'
minizpar,1,3,-r\ 0\ -C\ 0\ -q\ 1\ small_files,4,$'# elapsed time (parallel_miniz): 37.6407s\nExiting with Success'
minizpar,1,4,-r\ 0\ -D\ 1\ -q\ 1\ small_files,4,$'# elapsed time (parallel_miniz): 3.24755s\nExiting with Success'
minizpar,1,5,-r\ 1\ -C\ 0\ -q\ 1\ nested_files,4,$'# elapsed time (parallel_miniz): 23.9636s\nExiting with Success'
minizpar,1,6,-r\ 1\ -D\ 1\ -q\ 1\ nested_files,4,$'# elapsed time (parallel_miniz): 1.66155s\nExiting with Success'
minizpar,1,1,-r\ 0\ -C\ 0\ -q\ 1\ big_files,5,$'# elapsed time (parallel_miniz): 22.6499s\nExiting with Success'
minizpar,1,2,-r\ 0\ -D\ 1\ -q\ 1\ big_files,5,$'# elapsed time (parallel_miniz): 1.59816s\nExiting with Success'
minizpar,1,3,-r\ 0\ -C\ 0\ -q\ 1\ small_files,5,$'# elapsed time (parallel_miniz): 45.7231s\nExiting with Success'
minizpar,1,4,-r\ 0\ -D\ 1\ -q\ 1\ small_files,5,$'# elapsed time (parallel_miniz): 2.52421s\nExiting with Success'
minizpar,1,5,-r\ 1\ -C\ 0\ -q\ 1\ nested_files,5,$'# elapsed time (parallel_miniz): 25.3277s\nExiting with Success'
minizpar,1,6,-r\ 1\ -D\ 1\ -q\ 1\ nested_files,5,$'# elapsed time (parallel_miniz): 2.67474s\nExiting with Success'
minizpar,1,1,-r\ 0\ -C\ 0\ -q\ 1\ big_files,6,$'# elapsed time (parallel_miniz): 26.8547s\nExiting with Success'
minizpar,1,2,-r\ 0\ -D\ 1\ -q\ 1\ big_files,6,$'# elapsed time (parallel_miniz): 3.14944s\nExiting with Success'
minizpar,1,3,-r\ 0\ -C\ 0\ -q\ 1\ small_files,6,$'# elapsed time (parallel_miniz): 46.7759s\nExiting with Success'
minizpar,1,4,-r\ 0\ -D\ 1\ -q\ 1\ small_files,6,$'# elapsed time (parallel_miniz): 4.24564s\nExiting with Success'
minizpar,1,5,-r\ 1\ -C\ 0\ -q\ 1\ nested_files,6,$'# elapsed time (parallel_miniz): 23.5714s\nExiting with Success'
minizpar,1,6,-r\ 1\ -D\ 1\ -q\ 1\ nested_files,6,$'# elapsed time (parallel_miniz): 1.60263s\nExiting with Success'
minizpar,1,1,-r\ 0\ -C\ 0\ -q\ 1\ big_files,7,$'# elapsed time (parallel_miniz): 24.181s\nExiting with Success'
minizpar,1,2,-r\ 0\ -D\ 1\ -q\ 1\ big_files,7,$'# elapsed time (parallel_miniz): 1.63007s\nExiting with Success'
minizpar,1,3,-r\ 0\ -C\ 0\ -q\ 1\ small_files,7,$'# elapsed time (parallel_miniz): 31.2288s\nExiting with Success'
minizpar,1,4,-r\ 0\ -D\ 1\ -q\ 1\ small_files,7,$'# elapsed time (parallel_miniz): 8.8947s\nExiting with Success'
minizpar,1,5,-r\ 1\ -C\ 0\ -q\ 1\ nested_files,7,$'# elapsed time (parallel_miniz): 24.1857s\nExiting with Success'
minizpar,1,6,-r\ 1\ -D\ 1\ -q\ 1\ nested_files,7,$'# elapsed time (parallel_miniz): 4.42835s\nExiting with Success'
minizpar,1,1,-r\ 0\ -C\ 0\ -q\ 1\ big_files,8,$'# elapsed time (parallel_miniz): 24.0956s\nExiting with Success'
minizpar,1,2,-r\ 0\ -D\ 1\ -q\ 1\ big_files,8,$'# elapsed time (parallel_miniz): 2.59049s\nExiting with Success'
minizpar,1,3,-r\ 0\ -C\ 0\ -q\ 1\ small_files,8,$'# elapsed time (parallel_miniz): 49.5293s\nExiting with Success'
minizpar,1,4,-r\ 0\ -D\ 1\ -q\ 1\ small_files,8,$'# elapsed time (parallel_miniz): 5.35466s\nExiting with Success'
minizpar,1,5,-r\ 1\ -C\ 0\ -q\ 1\ nested_files,8,$'# elapsed time (parallel_miniz): 24.572s\nExiting with Success'
minizpar,1,6,-r\ 1\ -D\ 1\ -q\ 1\ nested_files,8,$'# elapsed time (parallel_miniz): 3.61866s\nExiting with Success'
minizpar,1,1,-r\ 0\ -C\ 0\ -q\ 1\ big_files,9,$'# elapsed time (parallel_miniz): 31.0075s\nExiting with Success'
